"","gene_id","gene_type","gene_short_name","chr"
"ENSMUSG00000070984","ENSMUSG00000070984","protein_coding","4930552N02Rik","chr4"
"ENSMUSG00000089717","ENSMUSG00000089717","protein_coding","Olfr275","chr4"
"ENSMUSG00000049648","ENSMUSG00000049648","protein_coding","Olfr273","chr4"
"ENSMUSG00000051593","ENSMUSG00000051593","protein_coding","Olfr272","chr4"
"ENSMUSG00000070983","ENSMUSG00000070983","protein_coding","Olfr270","chr4"
"ENSMUSG00000015242","ENSMUSG00000015242","protein_coding","Nipsnap3a","chr4"
"ENSMUSG00000015247","ENSMUSG00000015247","protein_coding","Nipsnap3b","chr4"
"ENSMUSG00000015243","ENSMUSG00000015243","protein_coding","Abca1","chr4"
"ENSMUSG00000086712","ENSMUSG00000086712","lincRNA","AI427809","chr4"
"ENSMUSG00000086267","ENSMUSG00000086267","lincRNA","Gm12496","chr4"
"ENSMUSG00000028412","ENSMUSG00000028412","protein_coding","Slc44a1","chr4"
"ENSMUSG00000054752","ENSMUSG00000054752","protein_coding","Fsd1l","chr4"
"ENSMUSG00000028414","ENSMUSG00000028414","protein_coding","Fktn","chr4"
"ENSMUSG00000028417","ENSMUSG00000028417","protein_coding","Tal2","chr4"
"ENSMUSG00000028420","ENSMUSG00000028420","protein_coding","Tmem38b","chr4"
"ENSMUSG00000086987","ENSMUSG00000086987","lincRNA","Gm12484","chr4"
"ENSMUSG00000099421","ENSMUSG00000099421","lincRNA","Gm29067","chr4"
"ENSMUSG00000086371","ENSMUSG00000086371","lincRNA","Gm12478","chr4"
"ENSMUSG00000087077","ENSMUSG00000087077","lincRNA","Gm12480","chr4"
"ENSMUSG00000060206","ENSMUSG00000060206","protein_coding","Zfp462","chr4"
"ENSMUSG00000087614","ENSMUSG00000087614","lincRNA","Gm12514","chr4"
"ENSMUSG00000028426","ENSMUSG00000028426","protein_coding","Rad23b","chr4"
"ENSMUSG00000087070","ENSMUSG00000087070","lincRNA","Gm12505","chr4"
"ENSMUSG00000086346","ENSMUSG00000086346","lincRNA","Gm12510","chr4"
"ENSMUSG00000003032","ENSMUSG00000003032","protein_coding","Klf4","chr4"
"ENSMUSG00000066176","ENSMUSG00000066176","lincRNA","Gm12511","chr4"
"ENSMUSG00000085375","ENSMUSG00000085375","lincRNA","Gm12506","chr4"
"ENSMUSG00000085643","ENSMUSG00000085643","lincRNA","Gm12519","chr4"
"ENSMUSG00000085020","ENSMUSG00000085020","lincRNA","2310081O03Rik","chr4"
"ENSMUSG00000070980","ENSMUSG00000070980","protein_coding","Actl7b","chr4"
"ENSMUSG00000096930","ENSMUSG00000096930","protein_coding","Gm26657","chr4"
"ENSMUSG00000070979","ENSMUSG00000070979","protein_coding","Actl7a","chr4"
"ENSMUSG00000028431","ENSMUSG00000028431","protein_coding","Ikbkap","chr4"
"ENSMUSG00000038827","ENSMUSG00000038827","protein_coding","Fam206a","chr4"
"ENSMUSG00000038816","ENSMUSG00000038816","protein_coding","Ctnnal1","chr4"
"ENSMUSG00000055296","ENSMUSG00000055296","protein_coding","Tmem245","chr4"
"ENSMUSG00000045589","ENSMUSG00000045589","protein_coding","Frrs1l","chr4"
"ENSMUSG00000028434","ENSMUSG00000028434","protein_coding","Epb41l4b","chr4"
"ENSMUSG00000038764","ENSMUSG00000038764","protein_coding","Ptpn3","chr4"
"ENSMUSG00000085654","ENSMUSG00000085654","lincRNA","Gm12536","chr4"
"ENSMUSG00000087044","ENSMUSG00000087044","lincRNA","1700042G15Rik","chr4"
"ENSMUSG00000090053","ENSMUSG00000090053","protein_coding","Palm2","chr4"
"ENSMUSG00000089945","ENSMUSG00000089945","protein_coding","Pakap","chr4"
"ENSMUSG00000038729","ENSMUSG00000038729","protein_coding","Akap2","chr4"
"ENSMUSG00000052117","ENSMUSG00000052117","protein_coding","D630039A03Rik","chr4"
"ENSMUSG00000028367","ENSMUSG00000028367","protein_coding","Txn1","chr4"
"ENSMUSG00000038709","ENSMUSG00000038709","protein_coding","Txndc8","chr4"
"ENSMUSG00000028369","ENSMUSG00000028369","protein_coding","Svep1","chr4"
"ENSMUSG00000097249","ENSMUSG00000097249","lincRNA","Gm26889","chr4"
"ENSMUSG00000057280","ENSMUSG00000057280","protein_coding","Musk","chr4"
"ENSMUSG00000038668","ENSMUSG00000038668","protein_coding","Lpar1","chr4"
"ENSMUSG00000086470","ENSMUSG00000086470","lincRNA","Gm12580","chr4"
"ENSMUSG00000043385","ENSMUSG00000043385","protein_coding","Olfr267","chr4"
"ENSMUSG00000050812","ENSMUSG00000050812","protein_coding","AI314180","chr4"
"ENSMUSG00000038630","ENSMUSG00000038630","protein_coding","Zkscan16","chr4"
"ENSMUSG00000028378","ENSMUSG00000028378","protein_coding","Ptgr1","chr4"
"ENSMUSG00000070972","ENSMUSG00000070972","protein_coding","Dnajc25","chr4"
"ENSMUSG00000092345","ENSMUSG00000092345","protein_coding","Gm20503","chr4"
"ENSMUSG00000038607","ENSMUSG00000038607","protein_coding","Gng10","chr4"
"ENSMUSG00000038598","ENSMUSG00000038598","protein_coding","AI481877","chr4"
"ENSMUSG00000028381","ENSMUSG00000028381","protein_coding","Ugcg","chr4"
"ENSMUSG00000086952","ENSMUSG00000086952","lincRNA","Gm12596","chr4"
"ENSMUSG00000038578","ENSMUSG00000038578","protein_coding","Susd1","chr4"
"ENSMUSG00000028382","ENSMUSG00000028382","protein_coding","Ptbp3","chr4"
"ENSMUSG00000046145","ENSMUSG00000046145","pseudogene","1700018M17Rik","chr4"
"ENSMUSG00000028383","ENSMUSG00000028383","protein_coding","Hsdl2","chr4"
"ENSMUSG00000045071","ENSMUSG00000045071","protein_coding","E130308A19Rik","chr4"
"ENSMUSG00000038544","ENSMUSG00000038544","protein_coding","Inip","chr4"
"ENSMUSG00000028385","ENSMUSG00000028385","protein_coding","Snx30","chr4"
"ENSMUSG00000028386","ENSMUSG00000028386","protein_coding","Slc46a2","chr4"
"ENSMUSG00000041333","ENSMUSG00000041333","protein_coding","Mup4","chr4"
"ENSMUSG00000078689","ENSMUSG00000078689","protein_coding","Mup6","chr4"
"ENSMUSG00000073842","ENSMUSG00000073842","protein_coding","Mup7","chr4"
"ENSMUSG00000078688","ENSMUSG00000078688","protein_coding","Mup2","chr4"
"ENSMUSG00000078687","ENSMUSG00000078687","protein_coding","Mup8","chr4"
"ENSMUSG00000078686","ENSMUSG00000078686","protein_coding","Mup9","chr4"
"ENSMUSG00000078683","ENSMUSG00000078683","protein_coding","Mup1","chr4"
"ENSMUSG00000078680","ENSMUSG00000078680","protein_coding","Mup10","chr4"
"ENSMUSG00000073834","ENSMUSG00000073834","protein_coding","Mup11","chr4"
"ENSMUSG00000094793","ENSMUSG00000094793","protein_coding","Mup12","chr4"
"ENSMUSG00000110439","ENSMUSG00000110439","protein_coding","RP24-346O11.2","chr4"
"ENSMUSG00000089873","ENSMUSG00000089873","protein_coding","Mup13","chr4"
"ENSMUSG00000073830","ENSMUSG00000073830","protein_coding","Mup14","chr4"
"ENSMUSG00000096674","ENSMUSG00000096674","protein_coding","Mup15","chr4"
"ENSMUSG00000078675","ENSMUSG00000078675","protein_coding","Mup16","chr4"
"ENSMUSG00000096688","ENSMUSG00000096688","protein_coding","Mup17","chr4"
"ENSMUSG00000078674","ENSMUSG00000078674","protein_coding","Mup18","chr4"
"ENSMUSG00000078673","ENSMUSG00000078673","protein_coding","Mup19","chr4"
"ENSMUSG00000058523","ENSMUSG00000058523","protein_coding","Mup5","chr4"
"ENSMUSG00000078672","ENSMUSG00000078672","protein_coding","Mup20","chr4"
"ENSMUSG00000066154","ENSMUSG00000066154","protein_coding","Mup3","chr4"
"ENSMUSG00000066153","ENSMUSG00000066153","protein_coding","Mup21","chr4"
"ENSMUSG00000028389","ENSMUSG00000028389","protein_coding","Zfp37","chr4"
"ENSMUSG00000066152","ENSMUSG00000066152","protein_coding","Slc31a2","chr4"
"ENSMUSG00000066151","ENSMUSG00000066151","protein_coding","Fkbp15","chr4"
"ENSMUSG00000066150","ENSMUSG00000066150","protein_coding","Slc31a1","chr4"
"ENSMUSG00000066149","ENSMUSG00000066149","protein_coding","Cdc26","chr4"
"ENSMUSG00000066148","ENSMUSG00000066148","protein_coding","Prpf4","chr4"
"ENSMUSG00000063851","ENSMUSG00000063851","protein_coding","Rnf183","chr4"
"ENSMUSG00000028391","ENSMUSG00000028391","protein_coding","Wdr31","chr4"
"ENSMUSG00000028392","ENSMUSG00000028392","protein_coding","Bspry","chr4"
"ENSMUSG00000038422","ENSMUSG00000038422","protein_coding","Hdhd3","chr4"
"ENSMUSG00000028393","ENSMUSG00000028393","protein_coding","Alad","chr4"
"ENSMUSG00000028394","ENSMUSG00000028394","protein_coding","Pole3","chr4"
"ENSMUSG00000058046","ENSMUSG00000058046","protein_coding","4933430I17Rik","chr4"
"ENSMUSG00000059810","ENSMUSG00000059810","protein_coding","Rgs3","chr4"
"ENSMUSG00000085223","ENSMUSG00000085223","lincRNA","Gm11210","chr4"
"ENSMUSG00000086139","ENSMUSG00000086139","lincRNA","Gm11211","chr4"
"ENSMUSG00000028358","ENSMUSG00000028358","protein_coding","Zfp618","chr4"
"ENSMUSG00000028356","ENSMUSG00000028356","protein_coding","Ambp","chr4"
"ENSMUSG00000028357","ENSMUSG00000028357","protein_coding","Kif12","chr4"
"ENSMUSG00000045672","ENSMUSG00000045672","protein_coding","Col27a1","chr4"
"ENSMUSG00000039196","ENSMUSG00000039196","protein_coding","Orm1","chr4"
"ENSMUSG00000028359","ENSMUSG00000028359","protein_coding","Orm3","chr4"
"ENSMUSG00000061540","ENSMUSG00000061540","protein_coding","Orm2","chr4"
"ENSMUSG00000039158","ENSMUSG00000039158","protein_coding","Akna","chr4"
"ENSMUSG00000039137","ENSMUSG00000039137","protein_coding","Whrn","chr4"
"ENSMUSG00000039105","ENSMUSG00000039105","protein_coding","Atp6v1g1","chr4"
"ENSMUSG00000045917","ENSMUSG00000045917","protein_coding","Tmem268","chr4"
"ENSMUSG00000084782","ENSMUSG00000084782","protein_coding","Gm11213","chr4"
"ENSMUSG00000058935","ENSMUSG00000058935","protein_coding","1700018C11Rik","chr4"
"ENSMUSG00000086817","ENSMUSG00000086817","lincRNA","Gm11482","chr4"
"ENSMUSG00000099294","ENSMUSG00000099294","protein_coding","Gm11214","chr4"
"ENSMUSG00000050395","ENSMUSG00000050395","protein_coding","Tnfsf15","chr4"
"ENSMUSG00000028362","ENSMUSG00000028362","protein_coding","Tnfsf8","chr4"
"ENSMUSG00000028364","ENSMUSG00000028364","protein_coding","Tnc","chr4"
"ENSMUSG00000086755","ENSMUSG00000086755","lincRNA","Gm11216","chr4"
"ENSMUSG00000085032","ENSMUSG00000085032","lincRNA","Gm11217","chr4"
"ENSMUSG00000028370","ENSMUSG00000028370","protein_coding","Pappa","chr4"
"ENSMUSG00000028373","ENSMUSG00000028373","protein_coding","Astn2","chr4"
"ENSMUSG00000051675","ENSMUSG00000051675","protein_coding","Trim32","chr4"
"ENSMUSG00000039005","ENSMUSG00000039005","protein_coding","Tlr4","chr4"
"ENSMUSG00000086364","ENSMUSG00000086364","lincRNA","Gm11751","chr4"
"ENSMUSG00000086790","ENSMUSG00000086790","lincRNA","Gm12911","chr4"
"ENSMUSG00000028351","ENSMUSG00000028351","protein_coding","Brinp1","chr4"
"ENSMUSG00000039298","ENSMUSG00000039298","protein_coding","Cdk5rap2","chr4"
"ENSMUSG00000039270","ENSMUSG00000039270","protein_coding","Megf9","chr4"
"ENSMUSG00000084937","ENSMUSG00000084937","lincRNA","Gm11228","chr4"
"ENSMUSG00000066141","ENSMUSG00000066141","protein_coding","Gm11232","chr4"
"ENSMUSG00000086696","ENSMUSG00000086696","lincRNA","Gm11234","chr4"
"ENSMUSG00000008305","ENSMUSG00000008305","protein_coding","Tle1","chr4"
"ENSMUSG00000059343","ENSMUSG00000059343","protein_coding","Aldoart1","chr4"
"ENSMUSG00000066137","ENSMUSG00000066137","protein_coding","Gm11487","chr4"
"ENSMUSG00000095935","ENSMUSG00000095935","protein_coding","Gm11238","chr4"
"ENSMUSG00000094116","ENSMUSG00000094116","protein_coding","Gm11237","chr4"
"ENSMUSG00000096700","ENSMUSG00000096700","protein_coding","Gm11236","chr4"
"ENSMUSG00000095048","ENSMUSG00000095048","protein_coding","Gm11239","chr4"
"ENSMUSG00000095341","ENSMUSG00000095341","protein_coding","Gm428","chr4"
"ENSMUSG00000043003","ENSMUSG00000043003","protein_coding","Rasef","chr4"
"ENSMUSG00000096530","ENSMUSG00000096530","protein_coding","Gm11758","chr4"
"ENSMUSG00000096750","ENSMUSG00000096750","protein_coding","Gm11757","chr4"
"ENSMUSG00000096333","ENSMUSG00000096333","protein_coding","Gm13871","chr4"
"ENSMUSG00000093962","ENSMUSG00000093962","protein_coding","Gm11756","chr4"
"ENSMUSG00000028396","ENSMUSG00000028396","protein_coding","2310002L09Rik","chr4"
"ENSMUSG00000049122","ENSMUSG00000049122","protein_coding","Frmd3","chr4"
"ENSMUSG00000028397","ENSMUSG00000028397","protein_coding","Kdm4c","chr4"
"ENSMUSG00000028398","ENSMUSG00000028398","protein_coding","Tmem261","chr4"
"ENSMUSG00000028399","ENSMUSG00000028399","protein_coding","Ptprd","chr4"
"ENSMUSG00000085840","ENSMUSG00000085840","lincRNA","Gm11261","chr4"
"ENSMUSG00000005994","ENSMUSG00000005994","protein_coding","Tyrp1","chr4"
"ENSMUSG00000048706","ENSMUSG00000048706","protein_coding","Lurap1l","chr4"
"ENSMUSG00000028402","ENSMUSG00000028402","protein_coding","Mpdz","chr4"
"ENSMUSG00000087540","ENSMUSG00000087540","lincRNA","Gm11412","chr4"
"ENSMUSG00000087608","ENSMUSG00000087608","lincRNA","Gm12914","chr4"
"ENSMUSG00000087110","ENSMUSG00000087110","lincRNA","Gm11264","chr4"
"ENSMUSG00000085022","ENSMUSG00000085022","lincRNA","Gm5860","chr4"
"ENSMUSG00000008575","ENSMUSG00000008575","protein_coding","Nfib","chr4"
"ENSMUSG00000028403","ENSMUSG00000028403","protein_coding","Zdhhc21","chr4"
"ENSMUSG00000038192","ENSMUSG00000038192","protein_coding","Cer1","chr4"
"ENSMUSG00000059049","ENSMUSG00000059049","protein_coding","Frem1","chr4"
"ENSMUSG00000038172","ENSMUSG00000038172","protein_coding","Ttc39b","chr4"
"ENSMUSG00000087592","ENSMUSG00000087592","lincRNA","Gm11184","chr4"
"ENSMUSG00000028483","ENSMUSG00000028483","protein_coding","Snapc3","chr4"
"ENSMUSG00000028484","ENSMUSG00000028484","protein_coding","Psip1","chr4"
"ENSMUSG00000052407","ENSMUSG00000052407","protein_coding","Ccdc171","chr4"
"ENSMUSG00000085378","ENSMUSG00000085378","lincRNA","Gm11415","chr4"
"ENSMUSG00000085217","ENSMUSG00000085217","lincRNA","6030471H07Rik","chr4"
"ENSMUSG00000087378","ENSMUSG00000087378","lincRNA","Gm12414","chr4"
"ENSMUSG00000028487","ENSMUSG00000028487","protein_coding","Bnc2","chr4"
"ENSMUSG00000086413","ENSMUSG00000086413","lincRNA","Gm12415","chr4"
"ENSMUSG00000038070","ENSMUSG00000038070","protein_coding","Cntln","chr4"
"ENSMUSG00000028488","ENSMUSG00000028488","protein_coding","Sh3gl2","chr4"
"ENSMUSG00000066113","ENSMUSG00000066113","protein_coding","Adamtsl1","chr4"
"ENSMUSG00000028492","ENSMUSG00000028492","protein_coding","Saxo1","chr4"
"ENSMUSG00000070934","ENSMUSG00000070934","protein_coding","Rraga","chr4"
"ENSMUSG00000038047","ENSMUSG00000038047","protein_coding","Haus6","chr4"
"ENSMUSG00000028494","ENSMUSG00000028494","protein_coding","Plin2","chr4"
"ENSMUSG00000038024","ENSMUSG00000038024","protein_coding","Dennd4c","chr4"
"ENSMUSG00000028495","ENSMUSG00000028495","protein_coding","Rps6","chr4"
"ENSMUSG00000038007","ENSMUSG00000038007","protein_coding","Acer2","chr4"
"ENSMUSG00000037996","ENSMUSG00000037996","protein_coding","Slc24a2","chr4"
"ENSMUSG00000086512","ENSMUSG00000086512","lincRNA","Gm12600","chr4"
"ENSMUSG00000028496","ENSMUSG00000028496","protein_coding","Mllt3","chr4"
"ENSMUSG00000038368","ENSMUSG00000038368","protein_coding","Focad","chr4"
"ENSMUSG00000028497","ENSMUSG00000028497","protein_coding","Hacd4","chr4"
"ENSMUSG00000048806","ENSMUSG00000048806","protein_coding","Ifnb1","chr4"
"ENSMUSG00000096011","ENSMUSG00000096011","protein_coding","Ifna15","chr4"
"ENSMUSG00000095896","ENSMUSG00000095896","protein_coding","Ifna14","chr4"
"ENSMUSG00000095270","ENSMUSG00000095270","protein_coding","Ifna9","chr4"
"ENSMUSG00000073811","ENSMUSG00000073811","protein_coding","Ifna12","chr4"
"ENSMUSG00000038330","ENSMUSG00000038330","protein_coding","C87499","chr4"
"ENSMUSG00000063376","ENSMUSG00000063376","protein_coding","Ifna13","chr4"
"ENSMUSG00000078355","ENSMUSG00000078355","protein_coding","Ifna16","chr4"
"ENSMUSG00000078354","ENSMUSG00000078354","protein_coding","Ifna2","chr4"
"ENSMUSG00000100079","ENSMUSG00000100079","protein_coding","Ifnab","chr4"
"ENSMUSG00000070923","ENSMUSG00000070923","protein_coding","Klhl9","chr4"
"ENSMUSG00000097078","ENSMUSG00000097078","protein_coding","Gm26566","chr4"
"ENSMUSG00000094618","ENSMUSG00000094618","protein_coding","Gm13271","chr4"
"ENSMUSG00000085473","ENSMUSG00000085473","protein_coding","Gm16686","chr4"
"ENSMUSG00000073809","ENSMUSG00000073809","pseudogene","Gm10583","chr4"
"ENSMUSG00000100505","ENSMUSG00000100505","protein_coding","Gm13283","chr4"
"ENSMUSG00000094498","ENSMUSG00000094498","pseudogene","Gm10582","chr4"
"ENSMUSG00000073807","ENSMUSG00000073807","pseudogene","Gm10581","chr4"
"ENSMUSG00000094271","ENSMUSG00000094271","protein_coding","Gm13290","chr4"
"ENSMUSG00000094167","ENSMUSG00000094167","pseudogene","Gm10580","chr4"
"ENSMUSG00000096582","ENSMUSG00000096582","protein_coding","Gm13289","chr4"
"ENSMUSG00000096591","ENSMUSG00000096591","protein_coding","Gm13272","chr4"
"ENSMUSG00000096854","ENSMUSG00000096854","protein_coding","Ifnz","chr4"
"ENSMUSG00000096987","ENSMUSG00000096987","lincRNA","Gm26525","chr4"
"ENSMUSG00000099545","ENSMUSG00000099545","protein_coding","Gm13276","chr4"
"ENSMUSG00000100234","ENSMUSG00000100234","protein_coding","Gm13277","chr4"
"ENSMUSG00000101163","ENSMUSG00000101163","protein_coding","Gm13278","chr4"
"ENSMUSG00000099518","ENSMUSG00000099518","protein_coding","Gm13275","chr4"
"ENSMUSG00000097873","ENSMUSG00000097873","lincRNA","Gm26867","chr4"
"ENSMUSG00000099420","ENSMUSG00000099420","protein_coding","Gm13279","chr4"
"ENSMUSG00000095101","ENSMUSG00000095101","protein_coding","Gm13285","chr4"
"ENSMUSG00000094648","ENSMUSG00000094648","protein_coding","Gm13287","chr4"
"ENSMUSG00000070908","ENSMUSG00000070908","protein_coding","Gm13288","chr4"
"ENSMUSG00000100713","ENSMUSG00000100713","protein_coding","Ifna7","chr4"
"ENSMUSG00000100549","ENSMUSG00000100549","protein_coding","Ifna11","chr4"
"ENSMUSG00000101252","ENSMUSG00000101252","protein_coding","Ifna6","chr4"
"ENSMUSG00000096682","ENSMUSG00000096682","protein_coding","Ifna5","chr4"
"ENSMUSG00000070904","ENSMUSG00000070904","protein_coding","Ifna4","chr4"
"ENSMUSG00000095498","ENSMUSG00000095498","protein_coding","Ifna1","chr4"
"ENSMUSG00000054351","ENSMUSG00000054351","protein_coding","4930553M12Rik","chr4"
"ENSMUSG00000045364","ENSMUSG00000045364","protein_coding","Ifne","chr4"
"ENSMUSG00000085183","ENSMUSG00000085183","lincRNA","Gm12603","chr4"
"ENSMUSG00000062937","ENSMUSG00000062937","protein_coding","Mtap","chr4"
"ENSMUSG00000087659","ENSMUSG00000087659","lincRNA","Gm12606","chr4"
"ENSMUSG00000044303","ENSMUSG00000044303","protein_coding","Cdkn2a","chr4"
"ENSMUSG00000073802","ENSMUSG00000073802","protein_coding","Cdkn2b","chr4"
"ENSMUSG00000043753","ENSMUSG00000043753","protein_coding","Dmrta1","chr4"
"ENSMUSG00000085690","ENSMUSG00000085690","lincRNA","Gm12629","chr4"
"ENSMUSG00000070902","ENSMUSG00000070902","protein_coding","Zfp352","chr4"
"ENSMUSG00000008489","ENSMUSG00000008489","protein_coding","Elavl2","chr4"
"ENSMUSG00000085817","ENSMUSG00000085817","lincRNA","Gm12668","chr4"
"ENSMUSG00000086042","ENSMUSG00000086042","lincRNA","Gm12670","chr4"
"ENSMUSG00000087517","ENSMUSG00000087517","lincRNA","4930577H14Rik","chr4"
"ENSMUSG00000028533","ENSMUSG00000028533","protein_coding","Izumo3","chr4"
"ENSMUSG00000066107","ENSMUSG00000066107","protein_coding","Gm12666","chr4"
"ENSMUSG00000085209","ENSMUSG00000085209","lincRNA","Gm12637","chr4"
"ENSMUSG00000054000","ENSMUSG00000054000","protein_coding","Tusc1","chr4"
"ENSMUSG00000084833","ENSMUSG00000084833","lincRNA","Gm12649","chr4"
"ENSMUSG00000085931","ENSMUSG00000085931","lincRNA","Gm12648","chr4"
"ENSMUSG00000028578","ENSMUSG00000028578","protein_coding","Caap1","chr4"
"ENSMUSG00000070900","ENSMUSG00000070900","protein_coding","Gm10306","chr4"
"ENSMUSG00000028577","ENSMUSG00000028577","protein_coding","Plaa","chr4"
"ENSMUSG00000028576","ENSMUSG00000028576","protein_coding","Ift74","chr4"
"ENSMUSG00000049799","ENSMUSG00000049799","protein_coding","Lrrc19","chr4"
"ENSMUSG00000006386","ENSMUSG00000006386","protein_coding","Tek","chr4"
"ENSMUSG00000028575","ENSMUSG00000028575","protein_coding","Eqtn","chr4"
"ENSMUSG00000062627","ENSMUSG00000062627","protein_coding","Mysm1","chr4"
"ENSMUSG00000052684","ENSMUSG00000052684","protein_coding","Jun","chr4"
"ENSMUSG00000085377","ENSMUSG00000085377","lincRNA","4930551L18Rik","chr4"
"ENSMUSG00000084918","ENSMUSG00000084918","lincRNA","Gm12708","chr4"
"ENSMUSG00000100129","ENSMUSG00000100129","lincRNA","Gm29064","chr4"
"ENSMUSG00000028573","ENSMUSG00000028573","protein_coding","Fggy","chr4"
"ENSMUSG00000028572","ENSMUSG00000028572","protein_coding","Hook1","chr4"
"ENSMUSG00000028571","ENSMUSG00000028571","protein_coding","Cyp2j13","chr4"
"ENSMUSG00000081225","ENSMUSG00000081225","protein_coding","Cyp2j12","chr4"
"ENSMUSG00000081362","ENSMUSG00000081362","protein_coding","Cyp2j7","chr4"
"ENSMUSG00000066097","ENSMUSG00000066097","protein_coding","Cyp2j11","chr4"
"ENSMUSG00000082932","ENSMUSG00000082932","protein_coding","Cyp2j8","chr4"
"ENSMUSG00000052914","ENSMUSG00000052914","protein_coding","Cyp2j6","chr4"
"ENSMUSG00000015224","ENSMUSG00000015224","protein_coding","Cyp2j9","chr4"
"ENSMUSG00000052520","ENSMUSG00000052520","protein_coding","Cyp2j5","chr4"
"ENSMUSG00000078639","ENSMUSG00000078639","protein_coding","Gm12695","chr4"
"ENSMUSG00000066990","ENSMUSG00000066990","protein_coding","Gm10192","chr4"
"ENSMUSG00000048747","ENSMUSG00000048747","protein_coding","E130114P18Rik","chr4"
"ENSMUSG00000028565","ENSMUSG00000028565","protein_coding","Nfia","chr4"
"ENSMUSG00000028563","ENSMUSG00000028563","protein_coding","Tm2d1","chr4"
"ENSMUSG00000061859","ENSMUSG00000061859","protein_coding","Patj","chr4"
"ENSMUSG00000087166","ENSMUSG00000087166","protein_coding","L1td1","chr4"
"ENSMUSG00000090718","ENSMUSG00000090718","pseudogene","Gm17376","chr4"
"ENSMUSG00000035407","ENSMUSG00000035407","protein_coding","Kank4","chr4"
"ENSMUSG00000073794","ENSMUSG00000073794","protein_coding","I0C0044D17Rik","chr4"
"ENSMUSG00000028560","ENSMUSG00000028560","protein_coding","Usp1","chr4"
"ENSMUSG00000028556","ENSMUSG00000028556","protein_coding","Dock7","chr4"
"ENSMUSG00000028553","ENSMUSG00000028553","protein_coding","Angptl3","chr4"
"ENSMUSG00000086498","ENSMUSG00000086498","lincRNA","Gm12681","chr4"
"ENSMUSG00000028550","ENSMUSG00000028550","protein_coding","Atg4c","chr4"
"ENSMUSG00000070891","ENSMUSG00000070891","protein_coding","Gm12689","chr4"
"ENSMUSG00000087332","ENSMUSG00000087332","lincRNA","Gm12690","chr4"
"ENSMUSG00000086096","ENSMUSG00000086096","lincRNA","Gm12688","chr4"
"ENSMUSG00000067261","ENSMUSG00000067261","protein_coding","Foxd3","chr4"
"ENSMUSG00000073792","ENSMUSG00000073792","protein_coding","Alg6","chr4"
"ENSMUSG00000028549","ENSMUSG00000028549","protein_coding","Itgb3bp","chr4"
"ENSMUSG00000073791","ENSMUSG00000073791","protein_coding","Efcab7","chr4"
"ENSMUSG00000025791","ENSMUSG00000025791","protein_coding","Pgm2","chr4"
"ENSMUSG00000085142","ENSMUSG00000085142","lincRNA","Gm12702","chr4"
"ENSMUSG00000035305","ENSMUSG00000035305","protein_coding","Ror1","chr4"
"ENSMUSG00000069733","ENSMUSG00000069733","protein_coding","Ube2u","chr4"
"ENSMUSG00000028532","ENSMUSG00000028532","protein_coding","Cachd1","chr4"
"ENSMUSG00000073789","ENSMUSG00000073789","protein_coding","Gm10577","chr4"
"ENSMUSG00000035275","ENSMUSG00000035275","protein_coding","Raver2","chr4"
"ENSMUSG00000028530","ENSMUSG00000028530","protein_coding","Jak1","chr4"
"ENSMUSG00000085863","ENSMUSG00000085863","lincRNA","Gm12801","chr4"
"ENSMUSG00000085721","ENSMUSG00000085721","lincRNA","Gm12796","chr4"
"ENSMUSG00000086782","ENSMUSG00000086782","lincRNA","E130102H24Rik","chr4"
"ENSMUSG00000087361","ENSMUSG00000087361","lincRNA","0610043K17Rik","chr4"
"ENSMUSG00000084758","ENSMUSG00000084758","lincRNA","Gm12798","chr4"
"ENSMUSG00000028527","ENSMUSG00000028527","protein_coding","Ak4","chr4"
"ENSMUSG00000028528","ENSMUSG00000028528","protein_coding","Dnajc6","chr4"
"ENSMUSG00000035212","ENSMUSG00000035212","protein_coding","Leprot","chr4"
"ENSMUSG00000057722","ENSMUSG00000057722","protein_coding","Lepr","chr4"
"ENSMUSG00000035201","ENSMUSG00000035201","protein_coding","B020004J07Rik","chr4"
"ENSMUSG00000046133","ENSMUSG00000046133","protein_coding","C130073F10Rik","chr4"
"ENSMUSG00000037028","ENSMUSG00000037028","protein_coding","Gm12800","chr4"
"ENSMUSG00000070890","ENSMUSG00000070890","protein_coding","Gm12794","chr4"
"ENSMUSG00000078626","ENSMUSG00000078626","protein_coding","Gm12790","chr4"
"ENSMUSG00000078625","ENSMUSG00000078625","protein_coding","Gm12789","chr4"
"ENSMUSG00000028525","ENSMUSG00000028525","protein_coding","Pde4b","chr4"
"ENSMUSG00000028524","ENSMUSG00000028524","protein_coding","Sgip1","chr4"
"ENSMUSG00000028523","ENSMUSG00000028523","protein_coding","Tctex1d1","chr4"
"ENSMUSG00000066090","ENSMUSG00000066090","protein_coding","Insl5","chr4"
"ENSMUSG00000035126","ENSMUSG00000035126","protein_coding","Wdr78","chr4"
"ENSMUSG00000028522","ENSMUSG00000028522","protein_coding","Mier1","chr4"
"ENSMUSG00000028521","ENSMUSG00000028521","protein_coding","Slc35d1","chr4"
"ENSMUSG00000107726","ENSMUSG00000107726","lincRNA","Gm44037","chr4"
"ENSMUSG00000028520","ENSMUSG00000028520","protein_coding","4921539E11Rik","chr4"
"ENSMUSG00000078618","ENSMUSG00000078618","lincRNA","4930456L15Rik","chr4"
